id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
fddec0c3-64df-47c0-a3da-a2b95329f5b6,Tee,Higgins,51.6,191.4,WR12,WR,Cincinnati Bengals,,
d70839f2-7d1d-4f27-bef0-9dfacee927b9,Michael,Pittman,51.8,175.3,WR13,WR,Indianapolis Colts,,
2b5f594c-495e-4735-96ed-951a06cea722,Daniel,Jones,52,191,QB21,QB,NY Giants,,
e02ab0c4-6874-45d3-8a41-5c4e015d8338,Keenan,Allen,53,199,WR14,WR,Los Angeles Chargers,,
5723378c-ef77-4cb0-9f37-f7997dc14721,James,Conner,53.4,210.5,RB16,RB,Arizona Cardinals,,
791c9559-d4ba-49ca-8cd4-66e40c8b9a8d,Darren,Waller,54.2,157,TE4,TE,Las Vegas Raiders,,
07b61176-18e8-4eb4-90ca-f39777b6aef4,Ezekiel,Elliott,55.2,181.8,RB17,RB,Dallas Cowboys,,
531d1e54-d848-440d-b00f-38f892b0ba06,Jaylen,Waddle,57.4,178.8,WR15,WR,Miami Dolphins,,
a80a69c0-023c-4676-b048-660d3a88a110,Courtland,Sutton,57.8,150.7,WR16,WR,Denver Broncos,,
0375f393-e33b-4e56-8015-0df9d49a1ac3,George,Kittle,58.2,164.8,TE5,TE,San Francisco 49ers,,
eadddd2e-53be-46d2-b19d-f3166603d232,DJ,Moore,59.4,195.5,WR17,WR,Carolina Panthers,,
0d4a3b21-8a6e-4f13-bee7-0ef017d9413f,Breece,Hall,60.8,127.1,RB18,RB,NY Jets,,
663835d5-17ee-4b82-9adb-d820734ac380,Ryan,Tannehill,62.4,257.3,QB22,QB,Tennessee Titans,,
9642eba8-d171-49d6-85c5-a2ef359f75f8,Allen,Robinson,64.2,173.6,WR18,WR,Los Angeles Rams,,
5b48ac8c-1b9e-4a78-994f-e119e733ec9f,J.K.,Dobbins,64.6,169.1,RB19,RB,Baltimore Ravens,,
3d47d2f5-4d3b-40fb-b04b-67e72f0ab6c6,Mac,Jones,66.4,248.9,QB23,QB,New England Patriots,,
6a0b6044-c421-4bfc-849f-e9866dfe003f,Cam,Akers,66.6,195.4,RB20,RB,Los Angeles Rams,,
bdfe95e1-7707-4792-a9c2-7827c6cda84e,Marquise,Brown,67.4,146.6,WR19,WR,Arizona Cardinals,,
a76b57a7-6b01-46b9-a7c2-93f7aa01eda7,Terry,McLaurin,67.6,165.3,WR20,WR,Washington Commanders,,
3aa0c033-bc0b-4e67-b70c-56d674d64abe,Gabe,Davis,71.6,124.6,WR21,WR,Buffalo Bills,,
370c0de1-e8f2-4b2a-9858-43e3b52f8297,Diontae,Johnson,72.2,191.9,WR22,WR,Pittsburgh Steelers,,
eb3b5f7f-95f1-4d82-b110-8589c01e3334,Rashod,Bateman,73.4,119.3,WR23,WR,Baltimore Ravens,,
15c86644-1e82-4d67-b2f0-91fc54f5ff8b,David,Montgomery,74,186.1,RB21,RB,Chicago Bears,,
c7e7062d-ffb9-4482-8a85-a70c0a284904,AJ,Dillon,75.6,146.8,RB22,RB,Green Bay Packers,,
c64ea389-e922-4c09-85f1-477944bc60fb,Jerry,Jeudy,77,158.1,WR24,WR,Denver Broncos,,
16137a54-f9c0-49d8-a76a-7ce09aca2f05,JuJu,Smith-Schuster,77,112.9,WR24,WR,Kansas City Chiefs,,
ec1e4c0f-ec37-4d7b-9a77-de5289b39b51,Dalton,Schultz,77.8,125.2,TE6,TE,Dallas Cowboys,,
ae3b6420-a96e-4092-a4c9-8926678274fc,Jared,Goff,78.8,181.6,QB24,QB,Detroit Lions,,
6ffe6d0f-2741-4f55-8482-083684154a8b,DK,Metcalf,81.8,199.3,WR26,WR,Seattle Seahawks,,
0b02376e-b2a6-472f-b0d0-e022d9770da5,Brandin,Cooks,82,187.2,WR27,WR,Houston Texans,,
89a294dc-5bf9-41cd-bbcc-085dde2c2958,Michael,Thomas,82.4,182.9,WR28,WR,New Orleans Saints,,
24e8dfa1-16b6-4216-aa3a-02e6f4721897,Baker,Mayfield,83,78.2,QB25,QB,Carolina Panthers,,
6e520e49-4db9-4429-8265-c3ee768ffde8,Carson,Wentz,83.2,212.3,QB26,QB,Washington Commanders,,
21b64ece-cdc5-4559-be2e-b6e50daff1a5,Marcus,Mariota,84.6,176.7,QB27,QB,Atlanta Falcons,,
4c599846-3e5d-43f8-bb19-fd9a0159fc3b,Chris,Godwin,85,193.3,WR29,WR,Tampa Bay Buccaneers,,
43b214c8-e06c-4df9-898a-05d74866a9c7,Amon-Ra,St. Brown,86,132.7,WR30,WR,Detroit Lions,,
6feb9cb8-5b4a-42f6-aaf2-89e1769339b1,Zach,Wilson,86.8,200.5,QB28,QB,NY Jets,,
bbf5d86a-39db-40fd-97a9-b10de10792ca,Elijah,Mitchell,87,184.5,RB23,RB,San Francisco 49ers,,
fbca7047-be54-468d-8b93-9fc7c7706e3e,Darnell,Mooney,87,143,WR31,WR,Chicago Bears,,
8891e1c3-0677-4d34-9099-f68ecee3ebec,Elijah,Moore,88.2,182.1,WR32,WR,NY Jets,,
5388071b-fcb1-4b33-83ae-1e074d4d5d90,Josh,Jacobs,88.2,170.8,RB24,RB,Las Vegas Raiders,,
07ed6ec3-c063-4ab4-b18d-a413c1344aff,Davis,Mills,91.6,142.6,QB29,QB,Houston Texans,,
0b63f88b-10d2-44a9-b4f0-fc1a4a54a016,Tony,Pollard,92,115.5,RB25,RB,Dallas Cowboys,,
34d34413-5267-4f3b-8e82-842fa9aa5980,T.J.,Hockenson,92.6,138.7,TE7,TE,Detroit Lions,,
49871326-d0d1-4cf9-a0c3-fe6445666b4f,Dallas,Goedert,93,130.9,TE8,TE,Philadelphia Eagles,,
d0c95200-1f2b-43c4-bf9c-5de9ef208a03,Hunter,Renfrow,94.6,168.3,WR33,WR,Las Vegas Raiders,,
17448295-7956-4fe3-8aaa-ebc7c031e144,Adam,Thielen,94.6,154.7,WR33,WR,Minnesota Vikings,,
b2969bd5-1e73-4426-bec6-3df6b2f49bf2,Rhamondre,Stevenson,95.2,105.4,RB26,RB,New England Patriots,,
0f88ed55-2288-4685-8258-dca35cad7ded,Allen,Lazard,98,93,WR35,WR,Green Bay Packers,,
542331e7-df09-40dd-b7c4-4f6468ad7924,Brandon,Aiyuk,98.8,144.8,WR36,WR,San Francisco 49ers,,
f8648ddc-6775-40fc-8307-31434fe7c16e,Deshaun,Watson,99,256.6,QB30,QB,Cleveland Browns,,
180ee5c9-1e34-4b7b-bbf1-c3132fbf792f,DeAndre,Hopkins,99.6,203.8,WR37,WR,Arizona Cardinals,,
04530b50-501e-4630-bcf1-cb48af7db12f,Amari,Cooper,102,183,WR38,WR,Cleveland Browns,,
3c90a463-b0a5-43d2-a3b9-a3242ffe39cf,Clyde,Edwards-Helaire,102.4,151.8,RB27,RB,Kansas City Chiefs,,
08a7e365-927b-47b2-927a-9cedb75cceb1,Drake,London,102.4,139.2,WR39,WR,Atlanta Falcons,,
63df678a-7e5b-47d3-ad24-9594aec8b7a2,Miles,Sanders,103.4,153.4,RB28,RB,Philadelphia Eagles,,
f0dc9993-c0c6-4ed2-865d-4dd3bb8c70c6,DeVonta,Smith,103.8,163.1,WR40,WR,Philadelphia Eagles,,
7d021aec-5d48-4bb2-8837-1d27d3196916,Antonio,Gibson,106.4,194.8,RB29,RB,Washington Commanders,,
1d3af357-2ff4-426b-b31d-749740c2660f,Kadarius,Toney,108,131.2,WR41,WR,NY Giants,,
ac3ce166-39f7-4513-8f80-0b68241f40c3,Chase,Edmonds,110.4,125.7,RB30,RB,Miami Dolphins,,
3acbd053-694a-4dd4-b1da-7ce297534433,Christian,Kirk,110.6,133.2,WR42,WR,Jacksonville Jaguars,,
